iter	RMSE
0	18.41305458
1	17.92598015
2	17.46593599
3	17.03108497
4	16.61673827
5	16.22349481
6	15.84872928
7	15.50039172
8	15.15139798
9	14.8216339
10	14.50594264
11	14.20938675
12	13.9284312
13	13.66178436
14	13.40754553
15	13.16583279
16	12.93737133
17	12.71860116
18	12.51658403
19	12.32089844
20	12.13486136
21	11.96250195
22	11.79580964
23	11.6362391
24	11.48690213
25	11.34807359
26	11.2161942
27	11.08962708
28	10.96978503
29	10.857283
30	10.74941749
31	10.64826643
32	10.55417811
33	10.46505783
34	10.37924318
35	10.29877752
36	10.22225179
37	10.14940109
38	10.08178505
39	10.01577879
40	9.95568015
41	9.89636659
42	9.842039629
43	9.790423726
44	9.742304642
45	9.697678123
46	9.653993867
47	9.612907385
48	9.575046153
49	9.539194251
50	9.505056432
51	9.472074696
52	9.440955689
53	9.412043617
54	9.384410029
55	9.35878342
56	9.334237279
57	9.311023848
58	9.289426535
59	9.269180705
60	9.249348592
61	9.230522943
62	9.212475771
63	9.196519005
64	9.181107565
65	9.166417917
66	9.152690443
67	9.138997016
68	9.126465983
69	9.114613505
70	9.102928073
71	9.092049064
72	9.082172941
73	9.072568623
74	9.063396691
75	9.054963108
76	9.046686828
77	9.038804842
78	9.031450034
79	9.024293486
80	9.017509822
81	9.011023801
82	9.004735125
83	8.998965616
84	8.993443347
85	8.988163099
86	8.983027276
87	8.978104925
88	8.972669939
89	8.968305897
90	8.963588719
91	8.959758019
92	8.955550952
93	8.951882955
94	8.948098379
95	8.944742308
96	8.940603627
97	8.93723834
98	8.934421416
99	8.931482786
100	8.928377939
101	8.925682964
102	8.923193506
103	8.920861269
104	8.918486587
105	8.916300288
106	8.914171298
107	8.912213751
108	8.909855116
109	8.90757299
110	8.905553557
111	8.903895397
112	8.902091619
113	8.900657357
114	8.899267541
115	8.897727154
116	8.896338473
117	8.894991729
118	8.893249364
119	8.891708222
120	8.89051608
121	8.889138845
122	8.88782315
123	8.886832542
124	8.885829513
125	8.884681084
126	8.88369767
127	8.88300699
128	8.881930478
129	8.880927672
130	8.880034654
131	8.878998004
132	8.878201884
133	8.877367424
134	8.87651128
135	8.875697421
136	8.874960511
137	8.874270589
138	8.873610445
139	8.872878605
140	8.872161525
141	8.871513474
142	8.870912096
143	8.870225983
144	8.869723838
145	8.869297547
146	8.868637815
147	8.86821727
148	8.867751862
149	8.867333174
150	8.866858525
151	8.866398669
152	8.86582876
153	8.86523455
154	8.864689825
155	8.864220803
156	8.863767788
157	8.863380852
158	8.862859316
159	8.862415465
160	8.862062995
161	8.861682951
162	8.861397326
163	8.861122918
164	8.860765474
165	8.860503714
166	8.860276905
167	8.859955966
168	8.859663696
169	8.859410457
170	8.859181016
171	8.858944932
172	8.858515628
173	8.858277436
174	8.857994006
175	8.857751621
176	8.857425699
177	8.857185627
178	8.857013371
179	8.856693467
180	8.856457279
181	8.856297629
182	8.855985845
183	8.855763115
184	8.855510893
185	8.855158276
186	8.854968168
187	8.854765072
188	8.854556882
189	8.854300492
190	8.853974048
191	8.853768718
192	8.85348531
193	8.853304302
194	8.853016006
195	8.852828273
196	8.852517172
197	8.852361967
198	8.852258446
199	8.851980215
200	8.85185133
201	8.851700782
202	8.851435885
203	8.851128644
204	8.850806062
205	8.850685039
206	8.850516601
207	8.850138571
208	8.84997358
209	8.84985749
210	8.849734994
211	8.849514758
